"Property ID","Property Type","Full Address","Address 1","Address 2",City,ZIP,State,Status,Specialist,"Sale Date",Price,"Down 1","Better price","Down 2","Best price","Down 3","Monthly Lease",Beds,Baths,Sq.Ft,Lot,Garage,"Year Built","Property Shown",County,Subdivision,"Date Inspected"
153015,Land,"Address:
      
        2911 S Joe Wright Dr
                  Southpoint Estates
              
        Locality:
    
                     31015 GA
            United States","2911 S Joe Wright Dr","Southpoint Estates",Cordele,31015,GA,Available,,,"65,999","3,599","64,999","4,599","63,999",5599.00,,,,,,,,✔,Crisp,"Southpoint Estates",2023-05-18
153004,Land,"Address:
      
        2804 S 10TH St
                  Lot 16 & 17
              
        Locality:
    
                     31015 GA
            United States","2804 S 10TH St","Lot 16 & 17",Cordele,31015,GA,Available,,"Monday, August 10, 2020","47,999","1,499",,,,,,,,"21,600",,,,✔,Crisp,"Southpoint Estates",2023-05-18
140018,"Land, Commercial","Address:
      
        2697 Irwinton Rd
                  AKA 2240 W Bypass Rd SW
              
        Locality:
    
                     31061 GA
            United States","2697 Irwinton Rd","AKA 2240 W Bypass Rd SW",Milledgeville,31061,GA,Available,,,"189,999","6,500","187,999","7,500","181,000",9998.00,,,,,560181,,,✔,Baldwin,,2023-05-18
93024,Commercial,"Address:
      
        507-511 N Houston Rd.
              
        Locality:
    
                     31093 GA
            United States","507-511 N Houston Rd.",,"Warner Robins",31093,GA,Available,,,"699,999","69,900",,,,,,,,"26,520",163786,,1973,✔,Houston,,2023-07-23
103051,Residential,"Address:
      
        1219 Clough St
              
        Locality:
    
                     31501 GA
            United States","1219 Clough St",,Waycross,31501,GA,Available,,,"91,999","3,500","90,999","5,500","88,999",7500.00,,2,1,768,6098,0.00,1950,✔,Ware,Clough,2023-05-17
610012,Land,"Address:
      
        2107 S Jackson St
              
        Locality:
    
                     31701 GA
            United States","2107 S Jackson St",,Albany,31701,GA,Available,,,"31,999",999,"30,555","2,500",,,,,,"6,850",6850,,,✔,Dougherty,,
103047,Residential,"Address:
      
        357 29th Ave 
              
        Locality:
    
                     31903 GA
            United States","357 29th Ave",,Columbus,31903,GA,Sold,,"Monday, August 07, 2023","66,999","4,499","65,999","5,499","64,999",6999.00,,2,1,"1,086",,0.00,1946,✔,Muscogee,,2023-06-20
,Residential,"Address:
      
        119 Dove Ave
              
        Locality:
    
                     38106 TN
            United States","119 Dove Ave",,Memphis,38106,TN,Available,,,"47,999","1,499","46,999","3,000","45,999",4900.00,,3,2,"1,092",6900,0.00,1956,✔,Shelby,"S Parkway PL",
,Residential,"Address:
      
        1011 Harrison St
              
        Locality:
    
                     38108 TN
            United States","1011 Harrison St",,Memphis,38108,TN,Available,,,"51,999","1,699","50,999","3,500","49,777",5777.00,,2,2,"1,075",4792,0.00,1949,✔,Shelby,"Liberty Heights",2023-07-20
,Residential,"Address:
      
        2172 Eldridge Ave
              
        Locality:
    
                     38108 TN
            United States","2172 Eldridge Ave",,Memphis,38108,TN,Available,,,"32,999","1,499","31,999","2,999","29,999",3999.00,,2,1,624,4312,0.00,1922,✔,Shelby,"W MODEL PARK",2023-07-20
133052,Residential,"Address:
      
        515 Oriole Dr
              
        Locality:
    
                     39204 MS
            United States","515 Oriole Dr",,Jackson,39204,MS,Unavailable,,,,,,,,,,4,1,"1,488",15500,,1954,✔,Hinds,,2023-04-03
142045,Residential,"Address:
      
        3726 Oregon Ave
              
        Locality:
    
                     63118 MO
            United States","3726 Oregon Ave",,"St Louis",63118,MO,Available,,,"69,999","5,500","68,500","6,999","67,500",8999.00,,2,1,932,,,1884,✔,"St Louis","Gravois Park",2022-07-19
191006,Commercial,"Address:
      
        418 & 420 Highland Avenue
              
        Locality:
    
                     71101 LA
            United States","418 & 420 Highland Avenue",,Shreveport,71101,LA,Available,,,"164,999","8,500","162,999","10,500","160,999",12999.00,,,,"2,511",8010,,,✔,Caddo,,2023-05-20
133061,Land,"Address:
      
        4708 SE 23rd. ST
              
        Locality:
    
                     73115 OK
            United States","4708 SE 23rd. ST",,"Del City",73115,OK,Available,,"Friday, April 01, 2022",,,,,,,,,,"7,501",7501,,,✔,Oklahoma,"Epperly Heights",2023-01-16
132060,Residential,"Address:
      
        1105 S Ash St
              
        Locality:
    
                     74016 OK
            United States","1105 S Ash St",,Chelsea,74016,OK,Available,,,"76,999",,,,,,,3,1,"1,976",11135,2.00,1964,✔,Rogers,,2021-12-16
192070,Residential,"Address:
      
        4822 FM 1753
              
        Locality:
    
                     75021 TX
            United States","4822 FM 1753",,Denison,75021,TX,Available,,"Tuesday, December 20, 2022","149,900","3,500","148,900","4,500","147,500",5900.00,,3,2,"2,262",70131,0.00,1972,✔,Grayson,"McIntyre Richard",2022-12-20
192067,Residential,"Address:
      
        1017 E King St
              
        Locality:
    
                     75090 TX
            United States","1017 E King St",,Sherman,75090,TX,Sold,"Vincent Bohne","Saturday, July 01, 2023","139,999","5,999","138,999","6,999","137,777",8999.00,,2,1,"1,398",10700,0.00,1925,✔,Grayson,Stowe,
